Concentration,Sample Type,Sample Number,Circle 1 Pixels Changed,Circle 1 Intensity Change,Circle 2 Pixels Changed,Circle 2 Intensity Change,Circle 3 Pixels Changed,Circle 3 Intensity Change,Circle 4 Pixels Changed,Circle 4 Intensity Change
30mM,High height,1,65.96984669960725,126.95607922631868,67.91582129927994,130.64960019095358,83.42137700299348,150.66072371896462,76.86488122257528,143.45388863670752
30mM,High height,2,67.64280931740494,130.10980723825634,86.59038313191051,155.76776377817777,70.23225001948407,131.29771646792923,70.11915673693859,131.0392387935926
30mM,High height,3,77.96785899429757,149.53798301232206,62.34273990632138,108.9191344404444,79.25505846110761,146.45708184555065,71.06933206409646,131.24928605425987
30mM,High height,4,86.63296181393389,155.612164387759,71.79917398038204,142.9551282051282,81.87471613737203,150.01656010900325,78.65624418388238,148.64384887399962
30mM,High height,5,65.42049183349924,121.09173026582606,67.92445660434716,136.56684146526828,85.99779492833517,154.0026542529299,73.53562989677901,137.15582638975252
30mM,High height,7,60.77403827491169,98.85105391871434,66.20968049049849,125.07696408850299,67.54085397996838,122.65423475663329,79.30357633572802,151.426530051427
30mM,High height,8,80.73119235470608,152.4945364299737,77.85840436151425,151.81260078322967,87.38089518776523,156.6695892385299,81.61804119764147,154.67956964545525
30mM,High height,9,82.28839628325882,145.82998763200456,59.995716886176254,108.04707855944605,66.75102068360495,123.81266659918346,85.31932334749236,154.01169982860122
30mM,High height,10,88.90473926137264,156.36528768426058,64.96673351797027,129.54760767834972,79.45338099493596,153.34778075662794,68.08031594876906,129.1893847119182
30mM,Android,1,73.83335444908991,137.37581823556738,74.03031387993794,141.56939968970045,74.90315196337384,139.86207959147737,70.6990467544258,130.73362082009382
30mM,Android,2,80.36437960319978,146.77020121929732,84.80757692637353,157.26570669409446,70.66089938430365,133.2077390694412,74.89415564575967,138.49316922002532
30mM,Android,4,72.35436056532231,139.69301773334865,78.18361727757701,146.09451901565996,76.88572127310205,140.28005450162456,85.21868602270612,156.0645077238042
30mM,Android,5,79.23164841647309,146.93684326954983,73.34701322389421,137.6922404620763,88.41929029360121,159.70488790885705,75.13990797164531,139.72354184802884
30mM,Android,6,79.19369044759388,147.80150532468573,84.27504736431517,157.76849065715666,82.27890305909811,152.68075352171377,75.3717608951708,141.05208333333334
30mM,Android,7,56.25946197740771,98.21878032685066,66.87231044594235,133.00742602536272,83.0521876647338,154.23124231242312,83.16256428375142,150.67263376908883
30mM,Android,8,73.07108197207097,134.07960143719671,68.30607386930815,130.0597020655763,60.973656817999846,110.92773640803908,83.13040814763765,152.37778543533196
30mM,Android,9,61.944629435829135,113.48980433196968,62.369275796837634,114.11360959417496,67.2807639099774,122.35057529439553,61.40174379611,111.02250540278709
30mM,Android,10,75.44460294816928,140.01921065145032,77.18460509979944,139.33397001241525,85.82067322013702,153.73115877271374,80.12770826412726,146.72369246668882
30mM,Right side,3,84.53961797663197,157.8603501216254,65.59439476638408,121.0119614446638,80.85486242386052,153.59315269901282,73.52847850230049,135.83690306203394
30mM,Right side,4,80.02987475583132,151.00543873760006,70.81397349853725,143.45108415074858,84.42511267162772,155.7065646508053,84.31044109436068,156.50158198399404
30mM,Right side,7,57.92088816427934,97.70051628430573,71.40789824441144,129.60169846528808,83.14443858724302,153.12919522052363,75.89212106936756,142.28013975581987
